Auto;Stagione;Temperatura;Ruote ant.;Ruote post.;Velocita;Wh/km;Capacity;km
"Tesla Model ""S LR Raven""";Estate;16;245/45-19;245/45-19;90;144;92.7;644
"Tesla Model ""S LR Raven""";Estate;16;245/45-19;245/45-19;90;152;92.7;610
Tesla Model X Long Range Raven;Estate;15;255/45-20;;90;177;92;520
Tesla Model s P100dL;Estate;15;245/35-21;245/35-21;90;178;92;515
Tesla Model 3 LR 2021;Inverno;2;235/45-18;235/45-18;90;149;69.9;468
Tesla Model 3 LR RWD;Inverno;5;235/45-18;235/45-18;90;156;71.7;459
"Tesla Model ""S LR RAVEN""";Estate;15;;;120;211;92.7;439
Tesla Model 3 Performance 2021;Inverno;1;235/45-18;235/45-18;90;174;76;438
Tesla Model 3 Performance;Inverno;5;235/45-18;235/45-18;90;171;74;433
Tesla Model X P90DL;Estate;12;275/45-20;275/45-20;90;194;81.8;417
;;;;;;;;
Classificazione miglior autoelettriche per autonomia totale  della marca Tesla ;;;;;;;;
